rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
ADNI_016_S_0359_MR_MPRAGE_br_raw	2.25	2.221	2.287	1.686	3.374	2.452	2.219	2.468	2.532	1.943	2.494	1.828	2.374	2.584	2.849	2.14	2.211	2.381	2.358	1.504	1.824	2.437	2.19	2.204	2.924	2.111	2.434	1.83	2.39	2.332	2.71	3.093	2.052	2.779	2.22588	822120.0	1235409.65226
ADNI_016_S_0538_MR_MPRAGE_br_raw	2.219	2.707	2.261	1.716	3.301	2.465	2.095	2.67	2.257	2.004	2.539	1.815	2.311	2.611	2.641	2.048	2.291	2.292	2.103	1.346	1.657	2.411	2.029	2.176	2.554	2.115	2.472	1.888	2.407	2.131	2.687	3.995	1.702	2.853	2.20956	1109416.0	1691605.2066
ADNI_020_S_0097_MR_MPRAGE_br_raw	2.38	2.7	2.387	1.869	3.364	2.717	2.332	2.744	2.233	2.23	2.422	2.014	2.219	2.669	2.697	2.271	2.399	2.407	2.336	1.559	1.973	2.715	2.379	2.352	2.664	2.203	2.396	2.042	2.687	2.354	2.399	3.592	2.222	2.813	2.35427	1133985.0	1689690.34038
ADNI_020_S_0883_MR_MPRAGE_br_raw	2.463	2.211	2.149	1.937	3.287	2.611	2.142	2.577	1.905	1.96	2.264	1.831	2.114	2.509	2.64	2.042	2.286	2.25	2.218	1.341	1.856	2.067	2.078	2.14	2.532	2.16	2.304	1.91	2.594	2.264	2.631	3.153	1.98	2.695	2.18538	1056623.0	1628975.40737
ADNI_020_S_0899_MR_MPRAGE_br_raw	2.543	2.392	2.525	1.909	3.641	2.65	2.294	2.736	1.972	2.143	2.456	1.851	2.18	2.583	2.833	2.224	2.569	2.562	2.28	1.481	1.922	2.21	2.28	2.276	2.804	2.263	2.609	2.093	2.617	2.331	2.76	3.558	2.286	2.752	2.34067	883856.0	1387864.60774
ADNI_020_S_1288_MR_MPRAGE_br_raw	2.302	2.632	2.398	1.808	3.438	2.856	2.307	2.924	2.058	2.191	2.432	1.973	2.269	2.72	3.006	2.353	2.314	2.616	2.432	1.527	1.876	2.572	2.388	2.352	2.771	2.25	2.623	1.938	2.558	2.317	2.377	4.054	2.083	2.918	2.36869	1223045.0	1702369.83997
ADNI_022_S_0014_MR_MPRAGE_br_raw	2.39	2.288	2.445	1.723	3.734	2.503	2.227	2.804	2.057	2.119	2.576	1.811	2.225	2.808	2.185	2.371	2.351	2.456	2.145	1.503	1.811	2.256	2.442	2.06	3.112	2.217	2.58	1.964	2.568	2.367	2.517	3.357	2.541	2.828	2.32164	860903.0	1293735.90842
ADNI_022_S_0066_MR_MPRAGE_br_raw	2.643	2.352	2.406	1.655	3.493	2.69	2.275	2.554	2.4	2.034	2.519	1.856	2.385	2.665	2.478	2.12	2.496	2.56	2.461	1.459	1.727	2.151	2.176	2.16	3.012	2.263	2.479	1.948	2.521	2.263	2.56	3.707	2.276	2.749	2.27407	855682.0	1252935.89795
PPMI_4004_MR_MPRAGE_GRAPPA_	2.657	2.203	2.546	2.118	3.123	2.687	2.462	2.776	2.295	2.404	2.487	2.171	2.336	2.866	2.508	2.545	2.417	2.585	2.486	1.947	2.116	2.297	2.421	2.474	2.571	2.443	2.619	2.338	2.646	2.484	2.553	3.196	2.545	2.702	2.47324	997293.0	1407771.77039
PPMI_4010_MR_MPRAGE_GRAPPA_	2.799	2.755	2.701	2.195	3.093	2.88	2.506	2.979	2.237	2.367	2.781	2.269	2.516	2.883	2.426	2.496	2.646	2.632	2.452	1.802	2.241	2.414	2.662	2.486	2.911	2.4	2.755	2.362	2.774	2.673	2.664	3.74	2.52	2.999	2.57754	1082640.0	1465257.44305
PPMI_4018_MR_MPRAGE_GRAPPA_	2.127	2.117	2.366	1.7	3.275	2.629	2.344	2.594	2.118	2.094	2.403	2.0	2.249	2.689	2.414	2.015	2.402	2.445	2.283	1.632	1.896	2.214	2.105	2.312	2.755	2.163	2.424	2.155	2.578	2.245	2.226	3.329	2.076	2.441	2.28252	1072384.0	1472683.63593
PPMI_4032_MR_MPRAGE_GRAPPA_	2.472	2.403	2.423	1.907	3.674	2.554	2.428	2.739	2.468	2.238	2.477	2.08	2.335	2.762	2.904	2.25	2.471	2.677	2.288	1.746	2.004	2.441	2.331	2.31	2.789	2.237	2.47	2.103	2.553	2.35	2.56	3.261	2.443	2.66	2.36446	994484.0	1348140.05305
PPMI_4067_MR_MPRAGE_GRAPPA_	2.448	2.174	2.296	1.738	2.87	2.567	2.259	2.583	2.24	2.077	2.377	1.96	2.093	2.494	2.518	2.458	2.373	2.352	2.315	1.692	2.083	2.339	2.485	2.338	2.571	2.136	2.439	2.14	2.62	2.38	2.199	3.441	2.191	2.696	2.31836	1129380.0	1597395.82151
PPMI_4085_MR_MPRAGE_GRAPPA_	2.439	2.24	2.323	1.971	2.789	2.668	2.4	2.695	2.208	2.248	2.635	2.094	2.396	2.716	3.103	2.298	2.315	2.557	2.356	1.588	2.134	2.233	2.255	2.399	2.824	2.22	2.451	2.232	2.724	2.497	2.532	3.524	2.317	2.834	2.38727	1006016.0	1443981.82883
PPMI_4139_MR_MPRAGE_GRAPPA_	2.377	2.05	2.412	1.947	3.654	2.69	2.31	2.766	2.096	2.094	2.492	2.187	2.434	2.648	3.014	2.241	2.53	2.6	2.338	1.815	1.943	2.142	2.355	2.234	2.576	2.268	2.378	2.038	2.522	2.427	2.815	3.3	2.062	2.727	2.33828	1000756.0	1544599.1457
