lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
PPMI_3503_MR_MPRAGEadni_br_raw	2.253	2.688	2.388	1.975	3.433	2.707	2.274	2.674	2.467	2.121	2.695	1.938	2.469	2.695	3.187	2.355	2.542	2.208	2.24	1.778	1.902	2.486	2.547	2.342	3.121	2.124	2.462	2.147	2.768	2.519	2.069	4.242	2.64	2.833	2.40398	890681.0	1205962.39874
PPMI_3515_MR_MPRAGEadni_br_raw	2.326	2.941	2.315	1.712	3.403	2.703	2.257	2.526	2.71	2.037	2.438	1.852	2.095	2.531	3.164	2.338	2.475	2.505	2.178	1.568	1.904	2.474	2.323	2.266	2.451	2.119	2.405	1.862	2.572	2.229	2.305	3.445	2.554	2.88	2.28821	957674.0	1289560.92049
PPMI_3517_MR_MPRAGEadni_br_raw	2.436	2.582	2.355	1.784	3.206	2.682	2.492	2.71	2.597	2.256	2.599	2.051	2.28	2.67	2.769	2.419	2.449	2.807	2.299	1.693	2.049	2.576	2.433	2.383	2.759	2.122	2.457	2.147	2.718	2.393	2.285	3.942	2.238	2.702	2.40445	1115640.0	1302582.89383
PPMI_3518_MR_MPRAGEadni_br_raw	2.273	2.802	2.097	1.714	3.552	2.62	2.131	2.599	2.308	2.05	2.455	1.819	2.043	2.53	2.598	2.401	2.347	2.129	2.365	1.391	1.824	2.405	2.224	2.175	3.134	2.073	2.302	1.98	2.339	2.152	2.544	3.743	2.383	2.626	2.22959	1040678.0	1570438.43745
PPMI_3519_MR_MPRAGEadni_br_raw	2.376	2.223	2.215	1.738	3.865	2.621	2.169	2.615	2.491	2.113	2.653	1.93	2.419	2.68	3.061	2.183	2.445	2.716	2.336	1.467	2.016	2.255	2.301	2.281	2.726	2.032	2.34	1.999	2.674	2.417	2.673	3.375	2.463	2.95	2.31889	1197989.0	1731413.10517
PPMI_3521_MR_MPRAGEadni_br_raw	2.596	2.57	2.413	2.051	3.357	2.771	2.32	2.931	2.26	2.297	2.697	2.098	2.302	2.925	3.3	2.281	2.518	2.832	2.289	1.758	1.863	2.333	2.425	2.385	2.775	2.134	2.455	2.091	2.938	2.5	2.412	3.967	2.56	2.829	2.43636	1094349.0	1393552.26702
PPMI_3523_MR_MPRAGEadni_br_raw	2.549	2.79	2.369	1.808	4.072	2.755	2.329	2.548	2.298	2.153	2.578	2.019	2.121	2.6	2.462	2.299	2.387	2.529	2.379	1.703	1.933	2.392	2.475	2.402	2.72	2.119	2.49	2.085	2.61	2.367	2.536	3.677	2.045	2.873	2.35747	1041621.0	1205441.73656
PPMI_3525_MR_MPRAGEadni_br_raw	2.557	2.671	2.192	1.801	3.851	2.809	2.2	2.808	2.479	2.105	2.787	2.01	2.353	2.746	3.046	2.275	2.361	2.457	2.541	1.672	1.877	2.394	2.401	2.394	3.073	2.185	2.489	1.993	2.762	2.332	2.313	4.128	2.483	3.071	2.39516	1090322.0	1373979.13194
PPMI_3526_MR_MPRAGEadni_br_raw	2.151	2.031	2.278	1.634	3.59	2.461	1.981	2.518	1.94	2.002	2.428	1.802	2.115	2.552	2.771	1.954	2.201	2.297	2.096	1.492	1.713	2.001	2.299	2.0	2.292	2.22	2.225	1.844	2.544	2.129	2.041	3.46	2.061	2.642	2.16142	1049888.0	1633937.4777
PPMI_3527_MR_MPRAGEadni_br_raw	2.306	2.271	2.436	1.762	3.421	2.644	2.255	2.522	2.185	1.99	2.623	1.899	2.485	2.647	2.627	2.196	2.556	2.836	2.449	1.707	1.864	2.408	2.474	2.261	2.436	2.211	2.637	1.918	2.635	2.243	2.41	3.784	2.191	2.963	2.35392	1031489.0	1430436.64536
